title	developer	publisher	release date	
Fifteen	RCMADIAX	RCMADIAX	<span data-sort-value="000000002017-04-13-0000" style="white-space:nowrap">April 13, 2017	
Pic-a-Pix Color	Lightwood Games	Lightwood Games	<span data-sort-value="000000002017-04-13-0000" style="white-space:nowrap">April 13, 2017	
'Scoop''n Birds'	TwinSky Games	TwinSky Games	<span data-sort-value="000000002017-04-13-0000" style="white-space:nowrap">April 13, 2017	
Bye-Bye BoxBoy!	HAL Laboratory	Nintendo	<span data-sort-value="000000002017-04-12-0000" style="white-space:nowrap">April 12, 2017	
Team Kirby Clash Deluxe	Nintendo	Nintendo	<span data-sort-value="000000002017-04-12-0000" style="white-space:nowrap">April 12, 2017	
Dragon Sinker	Kemco	Kemco	<span data-sort-value="000000002017-04-06-0000" style="white-space:nowrap">April 6, 2017	
Brave Dungeon	Inside System	Inside System	<span data-sort-value="000000002017-03-30-0000" style="white-space:nowrap">March 30, 2017	
Four Bombs	RCMADIAX	RCMADIAX	<span data-sort-value="000000002017-03-30-0000" style="white-space:nowrap">March 30, 2017	
Kung Fu Fight	Nostatic Software	Nostatic Software	<span data-sort-value="000000002017-03-30-0000" style="white-space:nowrap">March 30, 2017	
SubaraCity	Flyhigh Works	Flyhigh Works, Circle EntertainmentEU	<span data-sort-value="000000002017-03-30-0000" style="white-space:nowrap">March 30, 2017	
Mario Sports Superstars	Bandai Namco, Camelot	Nintendo	<span data-sort-value="000000002017-03-24-0000" style="white-space:nowrap">March 24, 2017	
Super Destronaut 3D	Petite Games	Petite Games	<span data-sort-value="000000002017-03-23-0000" style="white-space:nowrap">March 23, 2017	
Japanese Rail Sim 3D: Journey in Suburbs #2	Sonic Powered	Sonic Powered	<span data-sort-value="000000002017-03-16-0000" style="white-space:nowrap">March 16, 2017	
Sudoku Party	Lightwood Games	Lightwood Games	<span data-sort-value="000000002017-03-13-0000" style="white-space:nowrap">March 13, 2017	
Blaster Master Zero	Inti Creates	Inti Creates	<span data-sort-value="000000002017-03-09-0000" style="white-space:nowrap">March 9, 2017	
Frontier Days: Founding Pioneers	Arc System Works	Arc System Works, Circle EntertainmentNA, EU	<span data-sort-value="000000002017-03-09-0000" style="white-space:nowrap">March 9, 2017	
Mini Sports Collection	Mechanic Arms	Rainy Frog	<span data-sort-value="000000002017-03-09-0000" style="white-space:nowrap">March 9, 2017	
Pink Dot Blue Dot	RCMADIAX	RCMADIAX	<span data-sort-value="000000002017-03-09-0000" style="white-space:nowrap">March 9, 2017	
Story of Seasons: Trio of Towns	Marvelous	Marvelous AQLJP, Xseed GamesNA	<span data-sort-value="000000002017-02-28-0000" style="white-space:nowrap">February 28, 2017	
Go! Go! Kokopolo 3D: Space Recipe for Disaster	Tanukii Studios	Circle Entertainment, StarsignJP	<span data-sort-value="000000002017-02-23-0000" style="white-space:nowrap">February 23, 2017	
Tank Troopers	Nintendo EPD, Vitei	Nintendo	<span data-sort-value="000000002017-02-16-0000" style="white-space:nowrap">February 16, 2017	
Azure Striker Gunvolt: The Anime	Inti Creates	Inti Creates	<span data-sort-value="000000002017-02-09-0000" style="white-space:nowrap">February 9, 2017	
Parascientific Escape: Gear Detective	Intense	Circle Entertainment	<span data-sort-value="000000002017-02-09-0000" style="white-space:nowrap">February 9, 2017	
